school_id,category,risk_score,days_to_failure,priority_score,priority_level,actual_failure
SCHOOL_100,structural,0.808,35,4.04,Critical,1
SCHOOL_036,girls_toilet,0.787,36,3.94,Critical,0
SCHOOL_365,structural,0.787,36,3.93,Critical,1
SCHOOL_265,structural,0.784,36,3.92,Critical,0
SCHOOL_266,girls_toilet,0.767,36,3.84,Critical,0
SCHOOL_101,girls_toilet,0.766,37,3.83,Critical,1
SCHOOL_005,structural,0.751,37,3.76,Critical,1
SCHOOL_385,structural,0.735,37,3.67,Critical,0
SCHOOL_395,structural,0.708,38,3.54,Critical,1
SCHOOL_165,structural,0.706,38,3.53,Critical,1
SCHOOL_386,girls_toilet,0.701,38,3.51,Critical,1
SCHOOL_443,electrical,0.751,37,3.38,High,0
SCHOOL_366,girls_toilet,0.674,39,3.37,High,1
SCHOOL_346,girls_toilet,0.671,39,3.36,High,1
SCHOOL_143,electrical,0.746,37,3.36,High,1
SCHOOL_345,structural,0.671,39,3.35,High,1
SCHOOL_281,girls_toilet,0.663,40,3.32,High,0
SCHOOL_396,girls_toilet,0.655,40,3.28,High,1
SCHOOL_195,structural,0.654,40,3.27,High,0
SCHOOL_318,electrical,0.722,38,3.25,High,0
SCHOOL_235,structural,0.644,40,3.22,High,0
SCHOOL_495,structural,0.64,40,3.2,High,0
SCHOOL_280,structural,0.623,41,3.12,High,0
SCHOOL_156,girls_toilet,0.621,41,3.11,High,0
SCHOOL_241,girls_toilet,0.62,41,3.1,High,0
SCHOOL_289,classroom,0.773,36,3.09,High,1
SCHOOL_290,structural,0.613,41,3.07,High,1
SCHOOL_193,electrical,0.682,39,3.07,High,0
SCHOOL_431,girls_toilet,0.609,41,3.05,High,1
SCHOOL_410,structural,0.607,41,3.03,High,0
SCHOOL_320,structural,0.605,41,3.03,High,0
SCHOOL_256,girls_toilet,0.599,42,3.0,High,0
SCHOOL_425,structural,0.601,41,3.0,High,1
SCHOOL_216,girls_toilet,0.592,42,2.96,High,1
