school_id,district,block,school_type,girls_school,num_students,building_age,material_type,weather_zone,category,week_number,condition_score,issue_flag,water_leak,wiring_exposed,crack_width_mm,toilet_functional_ratio,power_outage_hours_weekly,roof_leak_flag,photo_uploaded,days_to_failure,failure_within_30_days,failure_within_60_days,priority_score,repair_done,days_since_repair,contractor_delay_days,sla_breach
1629,Dahod,Block C,Primary,1,685,41,Brick,Heavy Rain,electrical,7,5,1,0,1,3.27,0.85,11,1,0,18.283808478839397,1,1,76.85,0,,11,1
2879,Kutch,Block C,Primary,0,160,6,Temporary,Tribal,electrical,7,1,0,0,1,13.46,0.42,38,1,0,52.685238092341315,0,1,1.6,0,,29,1
1388,Surat,Block A,Primary,0,1157,41,Temporary,Tribal,structural,5,3,0,0,1,16.6,0.46,19,0,1,28.101313437175452,1,1,61.57,0,,19,1
1850,Kutch,Block A,Primary,0,958,55,Brick,Dry,plumbing,8,5,1,1,0,2.92,0.88,3,1,1,-8.974469926141516,1,1,59.58,0,,14,1
1774,Ahmedabad,Block A,Secondary,1,372,11,RCC,Tribal,plumbing,3,3,0,1,1,3.45,1.0,17,1,1,49.7315852264607,0,1,23.72,0,,8,1
1247,Dahod,Block C,Secondary,0,805,40,Brick,Dry,electrical,2,4,1,0,1,0.52,0.99,4,1,1,15.690458502397618,1,1,58.05,0,,6,0
2889,Ahmedabad,Block B,Primary,0,821,48,Temporary,Heavy Rain,structural,6,4,0,0,0,15.43,0.93,28,0,0,-4.908527476788043,1,1,58.21,0,,24,1
2527,Surat,Block C,Primary,0,197,52,Brick,Coastal,plumbing,5,5,0,0,0,11.46,0.2,22,0,1,10.880108332540772,1,1,51.97,0,,13,1
2732,Dahod,Block B,Primary,0,792,42,RCC,Tribal,electrical,6,4,1,1,0,19.49,0.43,20,0,0,12.212941648301893,1,1,57.92,0,,28,1
2632,Dahod,Block B,Secondary,1,344,45,Mixed,Dry,plumbing,8,1,1,0,1,19.82,0.48,28,1,1,45.07117835936968,0,1,23.44,0,,3,0
